,(90% Positive Rating),Alternative EANs,Brand,Condition,EAN-13,EAN-8,Expirable,Fragrance Family,Fragrance Line,Fragrance Notes,Fragrance Type,GTIN-14,Item EAN,Perfume Name ,Product name,Product rating,Seller Note,Size,Sold by,Targeted Group,Type,UPC-A,UPC-E,original,product review,quantity,recommends,save,sell price,users rating,ÙƒÙ„ Ù…Ù†ØªØ¬Ø§ØªÙ†Ø§ Ø§ØµÙ„ÙŠÙ‡ Ù¡Ù Ù % Ù‚Ù… Ø¨Ø²ÙŠØ§Ø±Ø© Ù…ØªØ¬Ø±Ù†Ø§ Ø¨Ø¸ØºØ· Ø¹Ù„Ù‰ Ø§Ø³Ù… Ø§Ù„Ù…ØªØ¬Ø± ÙˆØ§Ø¶Ø§Ù�Ø© Ø§Ù„Ù…Ù†ØªØ¬Ø§Øª Ù…Ù†Ù‡ Ø³ÙˆÙ� ØªØµÙ„Ùƒ Ù�ÙŠ Ø´Ø­Ù†Ù‡ ÙˆØ§Ø­Ø¯Ù‡
0,,2724262906457.0,Hugo Boss,New,737052352060.0,,,Woody & Musky,,"Top Notes: Lavender, Birch
Middle Notes: Violet
Base Notes: Woodsy Notes, Musk",Eau de Toilette,,2724265857756,Boss Bottled Night,"Boss Bottled Night by Hugo Boss for Men - Eau de Toilette, 100ml",3.9 out of 5,,100ml,WARDAT45,Men,,737052352060,,263.00,182,"['100ml', '200ml']",90.3,93.01,169.99,638.0,
1,,2724296327372.0,Gucci,New,5045418215528.0,,,Oriental Woody,,,Eau de Parfum,,2724293763067,Gucci Oud,"Gucci Oud by Gucci for Men & Women - Eau de Parfum, 75ML",4.1 out of 5,,75ml,AMLAQ,Unisex,,737052824376,,358.05,112,"['75ml', '50ml']",89.7,78.19,279.86,349.0,
2,,2724278426512.0,Gucci,New,,,,Oriental & Spicy,Oriental Spicy,"Top Notes: Calabrian bergamot, Tunisian Orange Blossom, Lavender, Anise
Middle Notes: Nutmeg, Water Lily, Plum, Cinnamon, Juniper Berries
Base Notes: Top Notes: Calabrian bergamot, Tunisian Orange Blossom, Lavender, Anise
Middle Notes: Nutmeg, Water Lily, Plum, Cinnamon, Juniper Berries
Base Notes: Labdanum, Patchouli, Leather, AmberÂ Read more",Eau de Toilette,,2724293935082,Made to Measure,"Made to Measure by Gucci for Men - Eau de Toilette, 90ml",4.3 out of 5,,90ml,AMLAQ,Men,,737052717630,,315.00,100,"['90ml', '50ml']",91.1,155.68,159.32,392.0,
3,,,Hugo Boss,New,737052933269.0,,,Oriental Woody,,,Eau de Parfum,,2724306429294,Boss Bottled Oud,"Boss Bottled Oud by Hugo Boss for Men - Eau de Parfum, 100ml",4.3 out of 5,,100ml,SEOOF,Men,,737052933269,,357.00,167,"['100ml', '50ml']",95.2,107.0,250.00,469.0,
4,,3349668528677.0,Paco Rabanne,New,3349668528677.0,,,Floral & Fruity,,,Eau de Parfum,,2724311855477,Olympea,"Olympea by Paco Rabanne for Women - Eau de Parfum, 80ml",4.6 out of 5,,80ml,AMLAQ,Women,,,,380.00,83,"['80ml', '50ml']",100,126.51,253.49,356.0,
5,,2724265672540.0,Calvin Klein,New,3607343811835.0,,,Citrus Woody,,"Top Notes: Bergamot, Cardamom, Fresh Pineapple and Papaya
Middle Notes: Hedione High Cis, Violet, Rose and Nutmeg
Base Notes: Musk and Amber",Eau de Toilette,,2724286429239,CK One,"CK One by Calvin Klein for Unisex - Eau de Toilette, 100ml",4.1 out of 5,,100ml,souq-shop,Unisex,,,,231.00,123,"['100ml', '200ml']",92.2,157.01,73.99,462.0,
6,,2724270339421.0,Calvin Klein,New,,,,Floral & Fruity,,"Top Notes: Pineapple, Green Notes, Mandarin Orange, Papaya, Bergamot Cardamom, Lemon
Middle Notes: Nutmeg, Violet, Orris Root, Jasmine, Lily-Of-The-VaTop Notes: Pineapple, Green Notes, Mandarin Orange, Papaya, Bergamot Cardamom, Lemon
Middle Notes: Nutmeg, Violet, Orris Root, Jasmine, Lily-Of-The-Valley Rose
Base Notes: Sandalwood, Amber, Musk, Cedar, Oak mossÂ Read more",Eau de Toilette,,2724279015760,CK One,"CK One by Calvin Klein for Men - Eau de Toilette, 200ml",4.3 out of 5,,200ml,WARDAT45,Men,,3607343811798,,156.45,234,"['200ml', '100ml']",94.6,46.46,109.99,807.0,
7,,2724267189619.0,Gucci,New,,,,Woody & Musky,,"Top Notes: Lavender, Coriander, Amalfi Lemon
Middle Notes: African Orange Flower, Neroli
Base Notes: Patchouli, Virginia Cedar, Amber",Eau de Toilette,,2724297942086,Guilty Intense Pour Homme,"Guilty Intense Pour Homme by Gucci for Men - Eau de Toilette, 90ml",4.4 out of 5,,90ml,Gardenia-Paris,Men,,737052525204,,315.00,126,"['90ml', '50ml']",92.9,141.05,173.95,548.0,
8,,2724296976501.0,Yves Saint Laurent,New,3365440787971.0,,,Floral & Fruity,,,Eau de Parfum,,2724317549967,Black Opium,"Black Opium by Yves Saint Laurent for Women - Eau de Parfum, 90ml",4.5 out of 5,,90ml,SPIGEN-SA,Women,,,,524.00,115,"['90ml', '50ml']",95.2,170.03,353.97,614.0,
9,,2724265829777.0,Yves Saint Laurent,New,3365440003866.0,,,Fresh & Zesty,,"Top Notes: Aldehydes, Artemisia, Coriander, Clary Sage, Bergamot
Middle Notes: Carnation, Patchouli, Cinnamon, Orris Root, Jasmine Vetiver, Geranium
BTop Notes: Aldehydes, Artemisia, Coriander, Clary Sage, Bergamot
Middle Notes: Carnation, Patchouli, Cinnamon, Orris Root, Jasmine Vetiver, Geranium
Base Notes: Honey, Leather, Tonka Bean, Amber, Musk Civet, Oakmoss, VanillaÂ Read more",Eau de Toilette,,2724277191565,Kouros,"Kouros by Yves Saint Laurent for Men - Eau de Toilette, 100ml",4.2 out of 5,,100ml,SEOOF,Men,,,,536.00,123,"['100ml', '50ml']",89.4,316.03,219.97,461.0,
10,,2724267190196.0,Calvin Klein,New,88300104437.0,,,Floral Woody Musk,,"Top Notes: Lavender, Green Notes, Mint, Mandarin Orange, Juniper, Bergamot
Middle Notes: Green Grass, Magnolia, Orchid, Freesia, Peach, Jasmine
Base NTop Notes: Lavender, Green Notes, Mint, Mandarin Orange, Juniper, Bergamot
Middle Notes: Green Grass, Magnolia, Orchid, Freesia, Peach, Jasmine
Base Notes: Sandalwood, Amber, Opoponax, Musk, Cedar, VanillaÂ Read more",Eau de Toilette,,2724274285489,CK Be,"CK Be by Calvin Klein for Unisex - Eau de Toilette, 200ml",4 out of 5,,200ml,SEOOF,Unisex,,88300104437,,289.00,173,"['200ml', '100ml']",81.1,196.5,92.50,807.0,
11,,,Versace,New,8011003813858.0,,,Woody & Musky,,,Eau de Toilette,,2724299227198,Eros,"Eros by Versace for Men - Eau de Toilette, 200ml",4.4 out of 5,,200ml,AMLAQ,Men,,,,378.00,84,"['200ml', '5ml', '100ml', '50ml']",93.5,68.0,310.00,381.0,
12,,2724298853466.0,Dolce & Gabbana,,737052783451.0,,,Woody & Musky,,"Top Notes: Water Notes, Basil, Lavender, Geranium, Marigold
Middle Notes: Tobacco, Hay, Moepel accord, Bran, Clary Sage
Base Notes: Labdanum, SandalwoTop Notes: Water Notes, Basil, Lavender, Geranium, Marigold
Middle Notes: Tobacco, Hay, Moepel accord, Bran, Clary Sage
Base Notes: Labdanum, Sandalwood, Cypress, Musk, AmberÂ Read more",Eau de Parfum,,2724301208702,Intenso,not present,4.3 out of 5,,125ml,,Men,,737052783451,,347.00,159,"['125ml', '75ml']",87.5,127.0,220.00,576.0,
